Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20186,0,0,0
2014,110529,California State Polytechnic University-Pomona,1,Main Campus,23966,0,0,0
2014,441937,California State University-Channel Islands,1,California State University Channel Islands,5879,0,0,0
2014,110538,California State University-Chico,1,Main Campus,17287,1,0,0
2014,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14687,0,0,0
2014,110574,California State University-East Bay,1,Main Campus,14823,0,0,0
2014,110556,California State University-Fresno,1,Main Campus,23179,0,0,0
2014,110565,California State University-Fullerton,1,Main Campus,38128,0,0,0
2014,110583,California State University-Long Beach,1,Main Campus,36809,0,0,0
2014,110592,California State University-Los Angeles,1,California State University- Los Angeles,24488,0,0,0
2014,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,6631,0,0,0
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,0,0,0
2014,110617,California State University-Sacramento,1,Sacramento State,29349,3,0,0
2014,366711,California State University-San Marcos,1,Main Campus,12154,0,0,0
2014,169248,Central Michigan University,1,Main Campus,26879,0,0,0
2014,115755,Humboldt State University,1,Humboldt State University,8485,0,0,0
2014,122409,San Diego State University,1,Main Campus,33483,0,0,0
2014,122755,San Jose State University,1,Main Campus,32713,1,0,0
2014,123572,Sonoma State University,1,Sonoma State University,9290,0,0,0
2014,111188,The California Maritime Academy,1,California State University Maritime Academy,1047,0,0,0
2015,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20944,1,0,0
2015,110529,California State Polytechnic University-Pomona,1,Main Campus,23717,0,0,0
2015,441937,California State University-Channel Islands,1,California State University Channel Islands,6167,0,0,1
2015,110538,California State University-Chico,1,Main Campus,17220,3,0,0
2015,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14635,0,0,0
2015,110574,California State University-East Bay,1,Main Campus,15528,0,0,0
2015,110556,California State University-Fresno,1,Main Campus,24136,0,0,0
2015,110565,California State University-Fullerton,1,Main Campus,38948,0,0,0
2015,110583,California State University-Long Beach,1,Main Campus,37446,0,0,0
2015,110592,California State University-Los Angeles,1,California State University- Los Angeles,27680,0,0,0
2015,409698,California State University-Monterey Bay,1,California State University- Monterey Bay,7102,0,0,0
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,0,0,0
2015,110617,California State University-Sacramento,1,Sacramento State,30284,2,0,0
2015,366711,California State University-San Marcos,1,Main Campus,12793,0,0,0
2015,169248,Central Michigan University,1,Main Campus,26825,0,0,0
2015,122409,San Diego State University,1,Main Campus,34254,0,0,0
2015,122755,San Jose State University,1,Main Campus,32773,1,0,0
2015,123572,Sonoma State University,1,Sonoma State University,9408,0,0,0
2015,111188,The California Maritime Academy,1,California State University Maritime Academy,1075,0,0,0
